tt.term_brand,tt.term_mdl_code,tt.os,tt.model,tt.price,name
步步高,vivo X520L,NULL,NULL,NULL,
三星,SGH-E200,android,其他,NULL,
三星,SGH-E250,android,其他,NULL,
三星,SGH-E318,android,其他,NULL,
三星,SGH-E368,android,其他,NULL,
三星,SGH-E598,android,其他,NULL,
三星,SGH-E638,android,其他,NULL,
三星,SGH-E728,android,其他,NULL,
三星,SGH-E778,android,其他,NULL,
三星,SGH-E818,android,其他,NULL,
三星,SGH-E958,android,其他,NULL,
三星,SGH-F218,android,其他,NULL,
三星,SGH-F268,android,其他,NULL,
三星,SGH-F308,android,其他,NULL,
三星,SGH-F480V,android,其他,NULL,
三星,SGH-I270,android,SAMSUNG SGH-i300,NULL,
三星,SGH-P860,NULL,NULL,NULL,
华为,VOG-AL00m,NULL,NULL,NULL,
欧珀,OW19W3,android,OPPO Watch,NULL,
欧珀,R6007,android,其他,NULL,
步步高,V2207A,android,其他,3549,
苹果,Iphone 5,NULL,NULL,NULL,
荣耀,HPB-AN00,android,其他,NULL,
荣耀,LRA-AN00,,NULL,NULL,
三星,GT-I8160,android,Galaxy Ace 2,NULL,
三星,GT-I9128,android,Galaxy Grand,NULL,
三星,GT-I9250,android,Galaxy Nexus,NULL,
三星,GT-I9295,NULL,NULL,NULL,
三星,S5603,android,其他,8800,
三星,SM-G998U,,NULL,NULL,
三星,SM-R750,android,SM-R750,NULL,
华为,EVR-AL00,android,Mate20 X,4999,
华为,H11HW,ANDROID,其他,NULL,
华为,HUAWEI B593s-850,NULL,NULL,NULL,
华为,RNE-L22,android,Mate10 Lite,NULL,
华为,U1310,android,其他,NULL,
华为,U1860,android,其他,NULL,
小米科技,M2004J7AC,android,红米10X,1477,
欧珀,3007,android,3007,NULL,
欧珀,OPPO R817,android,R817,NULL,
欧珀,OPPO R9km,android,R9,NULL,
欧珀,PBCM10,android,其他,NULL,
欧珀,PFDM00,android,OPPO Find X5 Pro,3849,
步步高,S3 Pro,android,其他,NULL,
步步高,V2156FA,android,iQOO Neo5 SE,1899,
步步高,V2242A,android,iQOO 11,5499,
步步高,Y22,NULL,NULL,NULL,
步步高,vivo X6S A,android,VIVO X6S PLUS,NULL,
苹果,iPhone 5S A1528,ios,iPhone 8 Plus ,NULL,
荣耀,BLN-TL00,android,荣耀畅玩6X,NULL,
realme,RMX1821,android,Realme 3,NULL,
三星,I9260,android,GALAXY Premier,NULL,
三星,M7600,android,其他,NULL,
三星,M8910,android,其他,NULL,
三星,SGH-B108,android,其他,NULL,
三星,SGH-B130,android,其他,NULL,
三星,SGH-B518,android,其他,NULL,
三星,SGH-C161,android,其他,NULL,
三星,SGH-C170,android,其他,NULL,
三星,SGH-C260,android,其他,NULL,
三星,SGH-C288,android,其他,NULL,
三星,SGH-D728,android,其他,NULL,
三星,SGH-D908,android,其他,NULL,
三星,SGH-D980,android,其他,NULL,
三星,SM-G900H,android,Galaxy S5,NULL,
三星,SM-G906L,android,Galaxy S5,NULL,
三星,SM-G9092,android,Galaxy S3,NULL,
三星,SM-G9198,android,Galaxy S6,NULL,
三星,SM-G928L,android,Galaxy S6,NULL,
华为,Ascend P6（联通版）,NULL,NULL,NULL,
华为,HJC-AN90,android,荣耀Play 5,2199,
华为,HUAWEI S220,NULL,NULL,NULL,
华为,HUAWEI W2-T00,NULL,NULL,NULL,
华为,Huawei OptiXstar K662d,NULL,NULL,NULL,
华为,RKY-AN00,android,荣耀Play7T,1399,
华为,TAS-AL00,android,Mate30,4444,
小米科技,M1805D1ST,android,小米 8,NULL,
小米科技,M2003J15SS,android,红米 Note9,1342,
小米科技,M2103K19G,,NULL,NULL,
欧珀,OPPO R831T,android,其他,NULL,
欧珀,OW20W2,,NULL,NULL,
欧珀,PDNM00,android,Reno 4 Pro,NULL,
步步高,BBK K119,NULL,NULL,NULL,
步步高,V1732A,android,V1732A,NULL,
步步高,vivo NEX,android,Nex A,NULL,
苹果,A2296,ios,iPhone 12,3832,
荣耀,LLD-AL20,android,荣耀9 青春版,NULL,
三星,GT-I5838,NULL,NULL,NULL,
三星,S8600,android,其他,NULL,
三星,SCH-W720,NULL,NULL,NULL,
三星,SM-A315G/DS,android,Galaxy A31,NULL,
三星,SM-A5009,android,Galaxy A5,NULL,
三星,SM-A5108,android,Galaxy A5,NULL,
三星,SM-A7000,android,Galaxy A7,NULL,
三星,SM-C115,android,Galaxy S5 Zoom,NULL,
三星,SM-G3568V,android,Galaxy Ace Style LTE,NULL,
小米科技,2015022,android,红米Note 2,NULL,
小米科技,2015617,android,红米Note 2,NULL,
小米科技,2016051,android,红米Note 4,NULL,
小米科技,2016100,android,红米Note 4,NULL,
小米科技,M2012K11C,android,其他,3032,
小米科技,M2101K9C,android,小米10S,2149,
小米科技,小米2A电信版,NULL,NULL,NULL,
欧珀,OWW212,,NULL,NULL,
欧珀,OWW221,,NULL,NULL,
欧珀,PCDM10,android,Reno Z,NULL,
步步高,K102,android,步步高K102,NULL,
步步高,V2166BA,android,其他,1632,
步步高,V2366HA,NULL,NULL,NULL,
苹果,A2111,ios,iPad Air,4799,
苹果,A2154,ios,Apple Watch Series 5,NULL,
苹果,Ipad mini 2(A1490),ios,iPhone 5S,NULL,
荣耀,CHL-AL00,android,荣耀 X20 SE,1794,
荣耀,YAL-AL50,android,荣耀 20S,NULL,
三星,I7500U,NULL,NULL,NULL,
三星,SGH-A400,android,其他,NULL,
三星,SGH-A437,android,其他,NULL,
三星,SGH-A707,android,其他,NULL,
三星,SM-A326BR/DS,,NULL,NULL,
三星,SM-A516V,,NULL,NULL,
三星,SM-G955W,android,Galaxy S9,3288,
华为,DRA-AL00,android,畅享8e,NULL,
华为,FC612E,android,其他,NULL,
华为,GLK-LX1U,android,Nova 5i,NULL,
华为,HUAWEI Y210-0100,NULL,NULL,NULL,
华为,NOH-NX9,android,Mate?40?Pro,6839,
华为,U7300,android,Gateway UC7305c,NULL,
小米科技,M1906F9SC,android,红米7 Pro,1528,
小米科技,M1908F1XE,android,MIX 4,NULL,
欧珀,CPH1607,android,R9s,2499,
欧珀,OPPO R9 Plusm A,android,R9s Plus,NULL,
欧珀,OPPO R9 Plust A,android,R9 Plus,NULL,
欧珀,OPPO U525,NULL,NULL,NULL,
欧珀,PAAM00,android,R15 梦境版,NULL,
欧珀,PBET00,android,A7,NULL,
步步高,V2180A,android,iQOO U5x,NULL,
步步高,vivo 1901,android,iPad Air,NULL,
步步高,vivo X9i,android,X9,NULL,
步步高,vivo X9s,android,X9s,NULL,
步步高,vivo Y37,android,Y37,NULL,
步步高,vivo Y55,android,Y55,NULL,
荣耀,7D-501u,NULL,NULL,NULL,
realme,RMX3361,android,realmeGT大师探索版,2499,
realme,RMX3850,android,iPhone XR,NULL,
三星,E1155,NULL,NULL,NULL,
三星,GT-I9208,android,Galaxy Mega 6.3,1300,
三星,I8000H,android,其他,NULL,
三星,S5350,android,其他,NULL,
三星,S5580,android,其他,NULL,
三星,SHV-E400K,android,Galaxy Golden,NULL,
三星,SM-G7102,android,Galaxy Grand 2,NULL,
三星,SM-P601,android,Galaxy Note 10.1,NULL,
三星,SM-S9280,,NULL,NULL,
三星,W828,NULL,NULL,NULL,
华为,ALN-AL00,,NULL,NULL,
华为,EML-TL00,android,P20,NULL,
华为,LYA-AL00,android,Mate 20 pro,NULL,
华为,TYH611M,android,麦芒10,1699,
小米科技,2014011,android,红米1S,600,
小米科技,2203121C,android,XIAOMI 12S ULTRA,6499,
小米科技,23028RN4DG,,NULL,NULL,
小米科技,MI MI-ONE,NULL,NULL,NULL,
欧珀,OPPO R11 Pluskt,android,R11s,NULL,
欧珀,OPPO R823T,android,R827T,NULL,
欧珀,PCHT30,android,Reno2,NULL,
步步高,V1824A,android,其他,NULL,
步步高,V1901T,android,其他,NULL,
步步高,V1919A,android,其他,NULL,
步步高,V2185A,android,vivo X80 Pro,6066,
步步高,V2324HA,NULL,NULL,NULL,
苹果,A2410,ios,iPhone 12 Pro Max,7666,
三星,GT-E2232,android,其他,NULL,
三星,GT-I9506,android,Galaxy S4 ,1235,
三星,SC-02H,,NULL,NULL,
三星,SGH-I337,NULL,NULL,NULL,
三星,SGH-I620,NULL,NULL,NULL,
三星,SGH-J610,NULL,NULL,NULL,
三星,SGH-J638,NULL,NULL,NULL,
三星,SM-A426U,,NULL,NULL,
三星,SM-T331C,android,其他,NULL,
华为,FC512E,android,其他,NULL,
华为,FIN-AL60a,android,Pura 70 Pro+,3466,
华为,LDN-AL10,android,畅享8,NULL,
华为,PAR-AL00,android,Nova 3e,NULL,
小米科技,M1908C3KE,android,红米 8A,649,
小米科技,MDT1,android,红米 5 Plus,NULL,
小米科技,Xiaomi MI2A,NULL,NULL,NULL,
欧珀,PCGM00,android,K3,1299,
欧珀,PJX110,NULL,NULL,NULL,
步步高,V1938A,android,X30 Pro,NULL,
苹果,iPhone 6S A1700,ios,iPhone 6,NULL,
荣耀,DUA-AL00,android,荣耀畅玩7A,NULL,
荣耀,LSA-AN00,android,荣耀 60,2999,
荣耀,MOA-AL20,android,其他,1189,
三星,C5510U,android,其他,NULL,
三星,GT-S5830,android,Galaxy Ace,NULL,
三星,S3653,android,其他,NULL,
三星,SGH-E88,NULL,NULL,NULL,
三星,SM-G3139D,android,Samsung GALAXY Ace 4,339,
华为,ANG-AN00,android,华为 Nova8,3499,
华为,FRL-TN00,android,华为畅享20 Plus,2399,
华为,GLL-AL00,android,其他,NULL,
华为,HUAWEI P7-L07,android,Ascend P7,929,
华为,HUAWEI Y518-T00,android,Y518,NULL,
华为,JDN2-AL50,android,平板电脑M5,NULL,
华为,WAS-LX1,android,P10 Lite,NULL,
小米科技,23078PND5G,,NULL,NULL,
小米科技,MCT8,android,其他,NULL,
小米科技,MI 4,android,其他,NULL,
欧珀,CPH1611,android,R9s Plus,NULL,
欧珀,CPH1938,android,A9 2020,NULL,
欧珀,OPPO R7005,android,R3,NULL,
欧珀,OPPO R8007,android,R801,NULL,
欧珀,OPPO R815T,android,R815,NULL,
欧珀,OPPO R819T,android,R820,NULL,
欧珀,PBFM30,NULL,NULL,NULL,
欧珀,PCRT00,android,A92s,3666,
步步高,BBK i267,NULL,NULL,NULL,
步步高,V2157A,android,Vivo Y10,2299,
步步高,vivo V3A,NULL,NULL,NULL,
步步高,vivo V3Max A,android,V3Max,NULL,
苹果,A2223,ios,iPad Pro 2,4799,
荣耀,ELZ-AN10,android,荣耀 Magic3 Pro,5666,
荣耀,H60-L02,android,荣耀6,750,
荣耀,H60-L11,android,荣耀6,750,
三星,SGH-G810,NULL,NULL,NULL,
三星,SM-G986N,android,Galaxy S20+,8023,
三星,SM-T295C,android,Galaxy Tab A 8.0,NULL,
华为,AGS3K-AL20,,NULL,NULL,
华为,E1750,android,其他,NULL,
小米科技,M2102J2SC,android,小米11 Pro,2832,
小米科技,MDT4,android,小米 MaX2,NULL,
小米科技,Xiaomi MI 1S,android,小米1S,600,
欧珀,OPPO X9007,android,Find 3,NULL,
步步高,BBK vivo Y1,NULL,NULL,NULL,
步步高,V1821A,android,Nex A,NULL,
步步高,i268,NULL,NULL,NULL,
步步高,i308,NULL,NULL,NULL,
步步高,vivo Y51A,android,Y51,NULL,
步步高,vivo Y51n,android,Y51,NULL,
步步高,vivo Y53L,android,Y53,NULL,
步步高,vivo Y627,android,Y628,NULL,
步步高,vivo Y85A,android,Y13,NULL,
苹果,A1890,android,其他,NULL,
三星,S5380D,android,其他,NULL,
三星,SGH-600,NULL,NULL,NULL,
三星,SM-N9500,android,Galaxy Note 8.0,NULL,
三星,SM-N950N,android,Galaxy Note 8.0,NULL,
三星,SM-N9600,android,Galaxy Note9,NULL,
三星,SM-N976U,android,Galaxy Note 10+,NULL,
华为,AGS-L09,android,畅玩平板2,NULL,
华为,HUAWEI MLA-AL10,android,麦芒5,NULL,
华为,HUAWEI TIT-CL10,android,畅享5,NULL,
华为,MHA-AL00,android,Mate 9,2599,
小米科技,2201122C,android,Xiaomi 12 Pro,4832,
小米科技,2311FRAFDC,,NULL,NULL,
欧珀,CPH1823,android,OPPO F9（Pro),NULL,
欧珀,OPPO A79kt,android,A79,NULL,
步步高,V2140A,android,iQOO 8 Pro,1099,
苹果,A2408,ios,iPhone 12 Pro Max,6833,
荣耀,HRY-AL00Ta,android,荣耀10 青春版,NULL,
荣耀,HUAWEI G7-UL20,android,Ascend G7,NULL,
荣耀,YAL-AL00,android,荣耀20,NULL,
三星,GT-S6352,android,Galaxy Ace Duos,NULL,
三星,SGH-E758,android,三星E760,NULL,
三星,SGH-E780,NULL,NULL,NULL,
三星,SGH-I900,android,Samsung SGH-i900L,NULL,
三星,SHV-E160S,android,Galaxy Note,NULL,
三星,SM-G3858,android, GALAXY CORE LTE,NULL,
三星,SM-G7108V,android,Galaxy Grand 2,NULL,
三星,SM-G9608|DS,NULL,NULL,NULL,
三星,SM-J7109,android,其他,NULL,
其他,其他,NULL,NULL,NULL,
华为,B310As-852,NULL,NULL,NULL,
华为,GFY-AL00,NULL,NULL,NULL,
华为,HUAWEI CRR-UL00,android,Mate S,NULL,
华为,HUAWEI T2012,android,其他,NULL,
华为,JDN2-AL50HN,android,其他,NULL,
华为,NOP-AN00,android,其他,8999,
华为,U528,android,其他,NULL,
华为,U636,android,其他,NULL,
欧珀,PDHM00,android,Ace 2,NULL,
欧珀,PEYM00,android,其他,2244,
欧珀,R831S,android,R831T,999,
步步高,V1809A,android,X23,NULL,
步步高,V1814T,android,X23,NULL,
步步高,V2304A,android,其他,4274,
苹果,A2104,ios,iPhone XS Max,NULL,
荣耀,ASK-AL20,android,荣耀Play3,1199,
荣耀,COL-TL00,android,荣耀10,NULL,
荣耀,HLK-AL00,android,荣耀9X,NULL,
荣耀,MXW-AN00,android,荣耀30青春版,1916,
三星,GT-E1202I,android,其他,NULL,
三星,I8000,android,其他,NULL,
三星,I8910,android,其他,NULL,
三星,S5233A,android,其他,NULL,
三星,SGH-N628E,android,其他,NULL,
三星,SM-N750L,NULL,NULL,NULL,
三星,SM-N9008,android,Galaxy Note 3,NULL,
三星,SM-N900L,android,Galaxy Note 3,NULL,
华为,BAC-AL00,android,nova 2 Plus,NULL,
华为,EVA-L19,android,P9,NULL,
华为,HUAWEI MT7-UL00,android,Mate 7,NULL,
华为,VKY-L09,android,P10,1499,
小米科技,M1903C3ET,android,其他,624,
小米科技,M2101K9G,,NULL,NULL,
欧珀,OPPO A59st,android,A59,NULL,
欧珀,OPPO R11s Plus,android,R11s Plus,NULL,
欧珀,PCDT10,android,A9x,NULL,
步步高,V2183A,android,vivo X80 Pro,4274,
步步高,X5Max L,android,X5Max+,NULL,
苹果,iPhone 8 Plus A1897,ios,iPhone 7 Plus ,NULL,
realme,RMX3041,android,Realme Q3i,1699,
realme,RMX3085,,NULL,NULL,
realme,RMX3201,,NULL,NULL,
realme,RMX3242,,NULL,NULL,
realme,RMX3710,,NULL,NULL,
realme,RMX3783,,NULL,NULL,
realme,RMX3800,NULL,NULL,NULL,
realme,RMX3841,,NULL,NULL,
realme,RMX3995,NULL,NULL,NULL,
三星,740SC,android,其他,NULL,
三星,GT-B7300C,android,Omnia Lite,NULL,
三星,GT-I9220,android,Galaxy Note,NULL,
三星,GT-S5380E,android,S5380,NULL,
三星,SGH-800C,android,其他,NULL,
三星,SGH-B200,NULL,NULL,NULL,
三星,SGH-C506,NULL,NULL,NULL,
三星,SGH-CC01i,NULL,NULL,NULL,
三星,SM-G3586V,android,Galaxy Core Lite 4G,NULL,
三星,SM-T395C,android,Galaxy Tab A7,NULL,
华为,HUAWEI RIO-CL00,android,麦芒4,NULL,
华为,JEF-TN00,android,Nova 7,3199,
华为,JLN-LX1,,NULL,NULL,
华为,LIO-TN00,android,Mate30 pro,6395,
华为,MON-AL19B,android,其他,NULL,
华为,S330,android,其他,NULL,
小米科技,24072PX77C,NULL,NULL,NULL,
步步高,V2241A,android,VIVO X90S,4299,
步步高,Y18L,android,其他,NULL,
苹果,A2785,ios,iPhone 14,NULL,
荣耀,HLK-AL00a,NULL,NULL,NULL,
荣耀,HRY-TL00,android,荣耀10 lite,NULL,
荣耀,STF-AL00,android,荣耀9,NULL,
realme,RMX2205,android,Realme X7 Max,1799,
realme,RMX3350,android,Realme GT Neo2T ,1966,
三星,E1085T,android,其他,NULL,
三星,E1113C,android,其他,NULL,
三星,I5700,android,其他,NULL,
三星,S7230,,NULL,NULL,
三星,SGH-N400,android,Galaxy Feel,NULL,
三星,SGH-Z560,android,其他,NULL,
三星,SM-G960U1,android,Galaxy S9,NULL,
三星,SM-G9730,android,Galaxy S10,NULL,
三星,SM-G973N,android,Galaxy S10,NULL,
三星,SM-S9080,android,Galaxy S23,8800,
华为,ALT-AL10,,NULL,NULL,
华为,DUB-LX1,android,Y7 2019,NULL,
华为,EP681,android,其他,NULL,
华为,HUAWEI Y560-CL00,android,Y560,NULL,
华为,JDN2-AL00HN,android,荣耀平板5,NULL,
华为,VCE-AL00,android,Nova 4,1558,
小米科技,2014215,android,小米4,NULL,
小米科技,2014726,android,小米 M4,NULL,
小米科技,2015712,android,红米3,NULL,
小米科技,2015811,android,红米3,NULL,
小米科技,MDT6,android,红米Note5,NULL,
小米科技,MEG7,android,红米5 Plus,NULL,
欧珀,CPH1831,android,R15 Pro,NULL,
欧珀,OPPO R11st,android,R11,NULL,
欧珀,OPPO R9 Plus A,NULL,NULL,NULL,
欧珀,OPPO R9s Plus,android,R9s Plus,NULL,
欧珀,PCAM00,android,R15X,NULL,
步步高,V1730EA,android,Z1,1398,
步步高,V1914T,NULL,NULL,NULL,
步步高,V1928T,NULL,NULL,NULL,
步步高,V1941T,NULL,NULL,NULL,
步步高,V2245A,android,iQOO 11 Pro,3449,
步步高,vivo Y11t,NULL,NULL,NULL,
步步高,vivo Y933,NULL,NULL,NULL,
荣耀,NZA-AN00,android,荣耀,NULL,
荣耀,PGT-AN20,android,OPPO Find N2 Flip,6699,
荣耀,华为荣耀3C(电信版),NULL,NULL,NULL,
realme,RMX2111,android,Realme V5,1649,
realme,RMX2121,android,其他,2366,
realme,RMX2170,,NULL,NULL,
realme,RMX2189,,NULL,NULL,
三星,GT-I8268,android,Galaxy Style Duos,NULL,
三星,GT-I9508C,NULL,NULL,NULL,
三星,SGH-A237,NULL,NULL,NULL,
三星,SM-A8050,android,Galaxy A80,NULL,
三星,SM-C5560,,NULL,NULL,
三星,SM-G975F,android,Galaxy S10+,NULL,
华为,ABR-AL00,android,华为 P50,4158,
华为,ANE-AL00,android,Nova 3e,NULL,
华为,ATU-AL10,android,畅享8e,NULL,
华为,Ascend G620S,NULL,NULL,NULL,
华为,DBY2-AL00,,NULL,NULL,
华为,ET128(数据卡),NULL,NULL,NULL,
小米科技,2312CRAD3C,android,其他,1766,
小米科技,M1803E1T,android,Redmi S2,764,
小米科技,MDG2,android,A1,NULL,
欧珀,A37fw,NULL,NULL,NULL,
欧珀,PDCM00,android,Reno3,NULL,
欧珀,PEGM10,android,Reno5,2849,
欧珀,PEGT00,android,Oppo Reno5 K,2699,
欧珀,PHT110,android,Oppo Reno10 Pro+,7199,
步步高,V2168A,android,Vivo X Note,NULL,
步步高,vivo X5Pro L,android,X5Pro,NULL,
三星,A200,android,其他,NULL,
三星,A3LSMG900V,NULL,NULL,NULL,
三星,B7320,NULL,NULL,NULL,
三星,I8000U,NULL,NULL,NULL,
三星,S5330,NULL,NULL,NULL,
三星,S5560,NULL,NULL,NULL,
三星,SCH-W579+,NULL,NULL,NULL,
三星,SGH-I600V,android,其他,NULL,
三星,SGH-U808E,android,其他,NULL,
三星,SGH-X138,android,其他,NULL,
三星,SGH-X160,android,其他,NULL,
三星,SGH-X200,android,其他,NULL,
三星,SGH-X458,android,其他,NULL,
三星,SGH-X480,android,其他,NULL,
三星,SGH-X507,android,其他,NULL,
三星,SGH-X520,android,其他,NULL,
三星,SGH-X638,android,其他,NULL,
三星,SGH-X660,android,其他,NULL,
三星,SGH-X688,android,其他,NULL,
三星,SGH-X818,android,其他,NULL,
三星,SM-F9460,android,Galaxy Pocket 2,24471,
三星,SM-G8858,android,Galaxy A8S,NULL,
三星,SM-G955F,android,Galaxy S8+,3288,
三星,SM-G955U,android,Galaxy S8+,3288,
华为,GLL-AL09,,NULL,NULL,
华为,NCE-AL10,android,畅享6,NULL,
华为,POT-AL00a,android,畅享9S,1099,
小米科技,2014812,android,红米2,NULL,
小米科技,2014817,android,红米2,NULL,
小米科技,2014821,android,红米2,NULL,
小米科技,MAE136,android,红米 Note4,NULL,
小米科技,MAG138,android,magic 4 pro Max,NULL,
欧珀,OPPO A59m,android,A59S,NULL,
欧珀,OPPO A73t,android,A77,NULL,
步步高,V2230EA,android,iQOO Neo7,1016,
步步高,V2313A,android,其他,1799,
苹果,iPhone 5S A1530,ios,V9,NULL,
荣耀,AQM-AL10,android,荣耀30,3295,
荣耀,MYA-TL00,android,荣耀畅玩6,NULL,
荣耀,TEL-AN10,android,荣耀 X10 Pro,1999,
三星,GT-E2120C,android,其他,NULL,
三星,GT-S5292,android,其他,NULL,
三星,GT-S5698,android,其他,NULL,
三星,SGH-2300,android,其他,NULL,
三星,SGH-C260M,android,其他,NULL,
三星,SM-A5070,android,Galaxy A50s,1892,
三星,SM-T225C,android,Galaxy Tab 4,NULL,
华为,HUAWEI T550+,NULL,NULL,NULL,
华为,HUAWEI VNS-AL00,android,G9 青春版,NULL,
华为,NEN-L22,,NULL,NULL,
华为,TRT-AL00,android,畅享7 Plus,NULL,
华为,VRD-AL10,android,华为平板M6,NULL,
华为,WLZ-AN00,android,Nova6,NULL,
小米科技,M2010J19SC,android,小米MIX FOLD,1342,
欧珀,CPH1715,android,A77,NULL,
欧珀,CPH1801,android,A71,NULL,
欧珀,CPH1923,android,A1K,NULL,
欧珀,CPH1933,android,A5,NULL,
欧珀,OPPO R7s Plus,NULL,NULL,NULL,
欧珀,PJF110,android,iQOO Z9,NULL,
步步高,V2361A,android,iPhone 13 Pro,NULL,
步步高,vivo X7Plus L,android,X9,NULL,
苹果,A2325,,NULL,NULL,
苹果,A2375,,NULL,NULL,
苹果,A2402,ios,iPhone 12 ,4733,
苹果,A2460,,NULL,NULL,
苹果,A2569,,NULL,NULL,
苹果,A2591,,NULL,NULL,
苹果,A2762,,NULL,NULL,
苹果,A2857,,NULL,NULL,
苹果,A2889,,NULL,NULL,
苹果,A2983,,NULL,NULL,
苹果,A3162,,NULL,NULL,
荣耀,H30-T00,android,荣耀3C,840,
荣耀,HUAWEI C8950D,android,荣耀,NULL,
荣耀,PCT-L29,android,荣耀V20,NULL,
三星,G900V,android,GALAXY S5,NULL,
三星,N9005,android,Galaxy Note3,NULL,
三星,SGH-U708E,android,其他,NULL,
三星,SM-F7000,android,Samsung Galaxy Z Flip,14395,
三星,SM-G5500,android,Galaxy On5,NULL,
三星,SM-G5528,android,Galaxy On5,NULL,
三星,SM-N975F/DS,android,Galaxy Note 10+,NULL,
华为,ART-TL00x,NULL,NULL,NULL,
华为,FIG-AL10,android,畅享7s,NULL,
华为,H312-371,android,其他,NULL,
华为,LYA-AL00P,android,荣耀畅玩7X,NULL,
华为,TAS-TL00,android,Mate30,4444,
小米科技,22111317G,,NULL,NULL,
小米科技,小米 3S,NULL,NULL,NULL,
欧珀,OPPO A30,android,A31,NULL,
欧珀,OPPO A33,android,A33,NULL,
欧珀,OPPO A79,android,A79,NULL,
欧珀,OPPO A83,android,A83,NULL,
步步高,V2047A,android,Vivo S9e,4198,
步步高,Y622,android,Y623,NULL,
步步高,vivo X6SPlus A,android,X6S Plus,NULL,
苹果,A2217,ios,iPhone 11 Pro Max,5033,
苹果,iPhone 5S A1453,ios,X100 Ultra,NULL,
荣耀,BLN-AL10,android,荣耀畅玩6X,NULL,
荣耀,CHM-TL00H,android,荣耀畅玩4C,NULL,
荣耀,SCL-AL00,android,荣耀4A,NULL,
realme,RMX3116,android,Realme V11,NULL,
realme,RMX3576,android,Realme V20,NULL,
三星,E2210C,android,其他,NULL,
三星,E2210H,android,其他,NULL,
三星,SGH-C160M,android,其他,NULL,
三星,SGH-X680,android,DEVELOPERS,NULL,
三星,SM-A3058,android,Galaxy A30,NULL,
三星,SM-A9200,android,Galaxy A9 star,NULL,
三星,SM-T805,android,Galaxy Tab S 8.4,NULL,
三星,SPH-L900,android,其他,1600,
华为,EG162G,android,其他,NULL,
华为,HUAWEI MT2-L03,NULL,NULL,NULL,
华为,HUAWEI T2011,NULL,NULL,NULL,
华为,OCE-AN10,android,华为 Mate 40 E,5249,
华为,V625,NULL,NULL,NULL,
欧珀,CPH1819,android,Find 7,NULL,
欧珀,OPPO A115K,NULL,NULL,NULL,
欧珀,PECM10,android,OPPO PEGM10,1649,
欧珀,PJH110,,NULL,NULL,
步步高,V1962BA,android,Z6,NULL,
步步高,vivo X5Max F,NULL,NULL,NULL,
荣耀,CMA-AN40,android,荣耀 Play6T,1299,
荣耀,COR-TL10,android,荣耀10,NULL,
荣耀,T1-701ua,NULL,NULL,NULL,
三星,SGH-S208,android,其他,NULL,
三星,SGH-T108,android,其他,NULL,
三星,SGH-T329,android,其他,NULL,
三星,SGH-T400,android,其他,NULL,
三星,SGH-T509,android,其他,NULL,
三星,SGH-U800,android,其他,NULL,
三星,SM-F9360,android,红米Note 8 Pro,11112,
三星,SM-G9006W,android,Galaxy S5,NULL,
三星,SM-N9760,android,Galaxy Note10+,NULL,
三星,SM-N976N,android,Galaxy Note10+,NULL,
华为,DRA-TL00,android,畅享8e,NULL,
华为,ET303,NULL,NULL,NULL,
华为,HUAWEI T1201+,NULL,NULL,NULL,
华为,HUAWEI Y523-L076,android,Y523,NULL,
华为,KOB2-AL00HN,,NULL,NULL,
华为,MAR-LX2B,android,P30 Lite,NULL,
小米科技,22081212C,android,Redmi K50 至尊版,3619,
小米科技,M1904F3BT,android,其他,1528,
欧珀,CPH2185,,NULL,NULL,
欧珀,CPH2211,,NULL,NULL,
欧珀,CPH2239,,NULL,NULL,
欧珀,CPH2293,,NULL,NULL,
欧珀,CPH2333,,NULL,NULL,
欧珀,CPH2365,,NULL,NULL,
欧珀,CPH2455,,NULL,NULL,
欧珀,CPH2577,,NULL,NULL,
欧珀,PHA120,android,其他,1999,
步步高,V2231A,android,iQOO Neo7 竞速版,3149,
步步高,vivo Xplay5A,android,Xplay5,NULL,
荣耀,KNT-AL10,android,荣耀V8,NULL,
荣耀,LND-TL30,android,其他,NULL,
